frame,battery,height,status,timestamp
455,76,70,Flying,20:34:55
456,76,70,Flying,20:34:55
457,76,70,Flying,20:34:55
458,76,70,Flying,20:34:55
459,76,70,Flying,20:34:55
460,76,70,Flying,20:34:55
461,76,70,Flying,20:34:55
462,76,70,Flying,20:34:55
463,76,70,Flying,20:34:55
464,76,70,Flying,20:34:55
465,76,70,Flying,20:34:55
466,76,70,Flying,20:34:55
467,76,70,Flying,20:34:55
468,76,70,Flying,20:34:55
469,76,70,Flying,20:34:55
470,76,70,Flying,20:34:55
471,76,70,Flying,20:34:55
472,76,70,Flying,20:34:56
473,76,70,Flying,20:34:56
474,76,70,Flying,20:34:56
475,76,70,Flying,20:34:56
476,76,70,Flying,20:34:56
477,76,70,Flying,20:34:56
478,75,70,Flying,20:34:56
479,75,70,Flying,20:34:56
480,75,70,Flying,20:34:56
481,75,70,Flying,20:34:56
482,75,70,Flying,20:34:56
483,75,70,Flying,20:34:56
484,75,70,Flying,20:34:56
485,75,70,Flying,20:34:56
486,75,70,Flying,20:34:56
487,75,70,Flying,20:34:56
488,75,70,Flying,20:34:56
489,75,70,Flying,20:34:56
490,75,70,Flying,20:34:56
491,75,70,Flying,20:34:57
492,75,70,Flying,20:34:57
493,75,70,Flying,20:34:57
494,75,70,Flying,20:34:57
495,75,70,Flying,20:34:57
496,75,70,Flying,20:34:57
497,75,70,Flying,20:34:57
498,75,70,Flying,20:34:57
499,75,70,Flying,20:34:57
500,75,70,Flying,20:34:57
501,75,70,Flying,20:34:57
502,75,70,Flying,20:34:57
503,75,70,Flying,20:34:57
504,75,70,Flying,20:34:57
505,75,70,Flying,20:34:57
506,75,70,Flying,20:34:57
507,75,70,Flying,20:34:57
508,74,90,Flying,20:34:57
509,74,90,Flying,20:34:57
510,74,90,Flying,20:34:57
511,74,90,Flying,20:34:58
512,74,90,Flying,20:34:58
513,74,90,Flying,20:34:58
514,74,90,Flying,20:34:58
515,74,90,Flying,20:34:58
516,74,90,Flying,20:34:58
517,74,90,Flying,20:34:58
518,74,90,Flying,20:34:58
519,74,90,Flying,20:34:58
520,74,90,Flying,20:34:58
521,74,90,Flying,20:34:58
522,74,90,Flying,20:34:58
523,74,90,Flying,20:34:58
524,74,90,Flying,20:34:58
525,74,90,Flying,20:34:58
526,74,90,Flying,20:34:58
527,74,90,Flying,20:34:58
528,74,90,Flying,20:34:58
529,74,90,Flying,20:34:59
530,74,90,Flying,20:34:59
531,74,90,Flying,20:34:59
532,74,90,Flying,20:34:59
533,74,90,Flying,20:34:59
534,74,90,Flying,20:34:59
535,74,90,Flying,20:34:59
536,74,90,Flying,20:34:59
537,74,90,Flying,20:34:59
538,74,90,Flying,20:34:59
539,74,90,Flying,20:34:59
540,74,90,Flying,20:34:59
541,74,90,Flying,20:34:59
542,74,90,Flying,20:34:59
543,74,90,Flying,20:34:59
544,74,90,Flying,20:34:59
545,74,90,Flying,20:34:59
546,74,90,Flying,20:34:59
547,74,90,Flying,20:34:59
548,74,90,Flying,20:34:59
549,74,90,Flying,20:34:59
550,74,90,Flying,20:35:00
551,74,90,Flying,20:35:00
552,74,90,Flying,20:35:00
553,74,90,Flying,20:35:00
554,74,90,Flying,20:35:00
555,74,90,Flying,20:35:00
556,74,90,Flying,20:35:00
557,74,90,Flying,20:35:00
558,74,90,Flying,20:35:00
559,74,90,Flying,20:35:00
560,74,90,Flying,20:35:00
561,74,90,Flying,20:35:00
562,74,90,Flying,20:35:00
563,74,90,Flying,20:35:00
564,74,90,Flying,20:35:00
565,74,90,Flying,20:35:00
566,74,90,Flying,20:35:00
567,73,90,Flying,20:35:00
568,73,90,Flying,20:35:00
569,73,90,Flying,20:35:01
570,73,90,Flying,20:35:01
571,73,90,Flying,20:35:01
572,73,90,Flying,20:35:01
573,73,90,Flying,20:35:01
574,73,90,Flying,20:35:01
575,73,90,Flying,20:35:01
576,73,90,Flying,20:35:01
577,73,90,Flying,20:35:01
578,73,90,Flying,20:35:01
579,73,90,Flying,20:35:01
580,73,90,Flying,20:35:01
581,73,90,Flying,20:35:01
582,73,90,Flying,20:35:01
583,73,90,Flying,20:35:01
584,73,90,Flying,20:35:01
585,73,90,Flying,20:35:01
586,73,90,Flying,20:35:01
587,73,90,Flying,20:35:01
588,73,90,Flying,20:35:01
589,73,90,Flying,20:35:02
590,73,90,Flying,20:35:02
591,73,90,Flying,20:35:02
592,73,90,Flying,20:35:02
593,73,90,Flying,20:35:02
594,73,90,Flying,20:35:02
595,73,90,Flying,20:35:02
596,73,90,Flying,20:35:02
597,72,100,Flying,20:35:02
598,72,100,Flying,20:35:02
599,72,100,Flying,20:35:02
600,72,100,Flying,20:35:02
601,72,100,Flying,20:35:02
602,72,100,Flying,20:35:02
603,72,100,Flying,20:35:02
604,72,100,Flying,20:35:02
605,72,100,Flying,20:35:02
606,72,100,Flying,20:35:02
607,72,100,Flying,20:35:02
608,72,100,Flying,20:35:03
609,72,100,Flying,20:35:03
610,72,100,Flying,20:35:03
611,72,100,Flying,20:35:03
